Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
Marshmello Ft. Khalid - Silence (Official Lyric Video),Silence,Marshmello,Khalid,,,,https://www.youtube.com/watch?v=tk36ovCMsU8,Lyric,1,0,0,0,0,0,tk36ovCMsU8,0.0,0.0,Marshmello,187
Marshmello - Stars (Official Music Video),Stars,Marshmello,,,,,https://www.youtube.com/watch?v=A57B7B6w3kw,Video,0,1,0,0,0,0,A57B7B6w3kw,0.0,0.0,Marshmello,210
Marshmello - Summer (Official Music Video) With Lele Pons,Summer,Marshmello,Lele Pons,,,,https://www.youtube.com/watch?v=2vMH8lITTCE,Video,0,1,0,0,0,0,2vMH8lITTCE,0.0,0.0,Marshmello,170
Marshmello - Tell Me (Official Music Video),Tell Me,Marshmello,,,,,https://www.youtube.com/watch?v=x3y4WdN4PI8,Video,0,1,0,0,0,0,x3y4WdN4PI8,0.0,0.0,Marshmello,160
Marshmello - Together,Together,Marshmello,,,,,https://www.youtube.com/watch?v=omAO50P9Qvk,Lyric,1,0,0,0,0,0,omAO50P9Qvk,0.0,0.0,Marshmello,247
Marshmello - Together (Official Music Video),Together,Marshmello,,,,,https://www.youtube.com/watch?v=JePnQ1gSagc,Video,0,1,0,0,0,0,JePnQ1gSagc,0.0,0.0,Marshmello,228
Marshmello X 42 Dugg - Baggin' (Official Music Video),X 42 Dugg Baggin',Marshmello,,,,,https://www.youtube.com/watch?v=DGRLp7cmHLY,Video,0,1,0,0,0,0,DGRLp7cmHLY,0.0,0.0,Marshmello,215
Marshmello X Imanbek (Ft. Usher) - Too Much (Official Music Video),X Imanbek Too Much,Marshmello,Usher,,,,https://www.youtube.com/watch?v=CDrn_k3bty4,Video,0,1,0,0,0,0,CDrn_k3bty4,0.0,0.0,Marshmello,256
Marshmello X Pritam - Biba Feat. Shirley Setia & Shah Rukh Khan (Official Music Video),X Pritam Biba Shirley Setia Shah Rukh Khan,Marshmello,,,,,https://www.youtube.com/watch?v=UhYRlI_bpJQ,Video,0,1,0,0,0,0,UhYRlI_bpJQ,0.0,0.0,Marshmello,218
Marshmello X Roddy Ricch - Project Dreams (Official Music Video),X Roddy Ricch Project Dreams,Marshmello,,,,,https://www.youtube.com/watch?v=Hn7WDtF3nKA,Video,0,1,0,0,0,0,Hn7WDtF3nKA,0.0,0.0,Marshmello,168
Marshmello X Sob X Rbe - Don'T Save Me (Official Music Video),X Sob X Rbe Don't Save Me,Marshmello,,,,,https://www.youtube.com/watch?v=t8eiTPi3OqI,Video,0,1,0,0,0,0,t8eiTPi3OqI,0.0,0.0,Marshmello,197
